"PNG","Papua New Guinea","パプアニューギニア","OFC"
"POL","Poland","ポーランド","UEFA"
"POR","Portugal","ポルトガル","UEFA"
"PRK","Korea DPR","朝鮮民主主義人民共和国","AFC"
"PUR","Puerto Rico","プエルトリコ","CONCACAF"
"QAT","Qatar","カタール","AFC"
"ROU","Romania","ルーマニア","UEFA"
"RSA","South Africa","南アフリカ共和国","CAF"
"RUS","Russia","ロシア","UEFA"
"RWA","Rwanda","ルワンダ","CAF"
"SAM","Samoa","サモア","OFC"
"SCG","Serbia and Montenegro","セルビア・モンテネグロ","UEFA"
"SCO","Scotland","スコットランド","UEFA"
"SDN","Sudan","スーダン","CAF"
"SEN","Senegal","セネガル","CAF"
"SEY","Seychelles","セーシェル","CAF"
"SIN","Singapore","シンガポール","AFC"
"SKN","St Kitts and Nevis","セントクリストファー・ネイビス","CONCACAF"
"SLE","Sierra Leone","シエラレオネ","CAF"
"SLV","El Salvador","エルサルバドル","CONCACAF"
"SMR","San Marino","サンマリノ","UEFA"
"SOL","Solomon Islands","ソロモン諸島","OFC"
"SOM","Somalia","ソマリア","CAF"
"SRB","Serbia","セルビア","UEFA"
"SRI","Sri Lanka","スリランカ","AFC"
"SSD","South Sudan","南スーダン","CAF"
"STP","São Tomé e Príncipe","サントメ・プリンシペ","CAF"
"SUI","Switzerland","スイス","UEFA"
"SUR","Suriname","スリナム","CONCACAF"
"SVK","Slovakia","スロバキア","UEFA"
"SVN","Slovenia","スロベニア","UEFA"
"SWE","Sweden","スウェーデン","UEFA"
"SWZ","Swaziland","スワジランド","CAF"
"SYR","Syria","シリア","AFC"
"TAH","Tahiti","タヒチ","OFC"
"TAN","Tanzania","タンザニア","CAF"
"TCA","Turks and Caicos Islands","タークス・カイコス諸島","CONCACAF"
"TCH","RCS","チェコスロバキア","UEFA"
"TGA","Tonga","トンガ","OFC"
"THA","Thailand","タイ","AFC"
"TJK","Tajikistan","タジキスタン","AFC"
"TKM","Turkmenistan","トルクメニスタン","AFC"
"TLS","Timor-Leste","東ティモール","AFC"
"TOG","Togo","トーゴ","CAF"
"TPE","Chinese Taipei","チャイニーズタイペイ","AFC"
"TRI","Trinidad and Tobago","トリニダード・トバゴ","CONCACAF"
"TUN","Tunisia","チュニジア","CAF"
"TUR","Turkey","トルコ","UEFA"
"UAE","United Arab Emirates","アラブ首長国連邦","AFC"
"UGA","Uganda","ウガンダ","CAF"
"UKR","Ukraine","ウクライナ","UEFA"
"URU","Uruguay","ウルグアイ","CONMEBOL"
"USA","USA","アメリカ合衆国","CONCACAF"
"UZB","Uzbekistan","ウズベキスタン","AFC"
"VAN","Vanuatu","バヌアツ","OFC"
"VEN","Venezuela","ベネズエラ","CONMEBOL"
"VGB","British Virgin Islands","イギリス領ヴァージン諸島","CONCACAF"
"VIE","Vietnam","ベトナム","AFC"
"VIN","St Vincent and the Grenadines","セントビンセント・グレナディーン","CONCACAF"
"VIR","US Virgin Islands","アメリカ領ヴァージン諸島","CONCACAF"
"WAL","Wales","ウェールズ","UEFA"
"YEM","Yemen","イエメン","AFC"
"YUG","Yugoslavia","ユーゴスラビア","UEFA"
"ZAI","Zaire","ザイール","CAF"
"ZAM","Zambia","ザンビア","CAF"
"ZIM","Zimbabwe","ジンバブエ","CAF"
